,rank_2022,university,score_2022,link,country,city,region,logo,rank_2021,score_2021,rank_2020,score_2020,rank_2019,score_2019,rank_2018,score_2018,rank_2017,score_2017,Latitude,Longitude,Location,score_2022_2
355,355,George Washington University,31.1,https://www.topuniversities.com/universities/george-washington-university,United States,Ashburn,North America,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,353,30.8,336,32,345,31.5,352,33.5,363,32.3,38.8997145,-77.0485992,"38.8997145,-77.0485992",31.1
356,356,Tilburg University,31,https://www.topuniversities.com/universities/tilburg-university,Netherlands,Tilburg,Europe,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,368,29.7,371,29.6,319,33.1,357,33.3,330,34.6,51.5639249,5.0434446,"51.5639249,5.0434446",31
357,356,University of Lisbon ,31,https://www.topuniversities.com/universities/university-lisbon,Portugal,Lisbon ,Europe,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,357,30.2,338,31.9,355,30.7,305,37.3,330,34.6,38.7526578,-9.158245,"38.7526578,-9.158245",31
358,358,Nankai University,30.9,https://www.topuniversities.com/universities/nankai-university,China (Mainland),Tianjin,Asia,https://www.topuniversities.com/sites/default/files/nankai-university_882_small.jpg,377,29,368,29.8,338,31.7,344,34,315,35.7,39.1039443,117.1742232,"39.1039443,117.1742232",30.9
359,358,National University of Sciences And Technology (NUST) Islamabad,30.9,https://www.topuniversities.com/universities/national-university-sciences-technology-nust-islamabad,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-sciences-and-technology-nust-islamabad_698_small.jpg,355,30.5,400,28.2,417,27.3,431-440,,501-550,,33.6486464,72.9911897,"33.6486464,72.9911897",30.9
360,358,University of Jyväskylä,30.9,https://www.topuniversities.com/universities/university-jyvaskyla,Finland,Jyväskylä,Europe,https://www.topuniversities.com/sites/default/files/university-of-jyvskyl_306_small.jpg,333,31.7,346,31.6,336,31.9,357,33.3,338,34.2,62.2365317,25.7316335,"62.2365317,25.7316335",30.9
361,358,University of Utah,30.9,https://www.topuniversities.com/universities/university-utah,United States,Salt Lake City,North America,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg,333,31.7,353,30.9,345,31.5,391,31,411-420,,40.7649368,-111.8421021,"40.7649368,-111.8421021",30.9
362,362,Ewha Womans University,30.8,https://www.topuniversities.com/universities/ewha-womans-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/ewha-womans-university_592560cf2aeae70239af4b38_small.jpg,333,31.7,331,32.3,319,33.1,299,37.7,335,34.5,37.5618588,126.9468339,"37.5618588,126.9468339",30.8
363,362,La Trobe University,30.8,https://www.topuniversities.com/universities/la-trobe-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/la-trobe-university_592560cf2aeae70239af4bd1_small.jpg,398,28.1,400,28.2,397,28.2,360,33.2,386,30.9,-37.72146297,145.0498845,"-37.72146296771922,145.04988447072023",30.8
364,362,MGIMO School of Business and International Proficiency,30.8,https://www.topuniversities.com/universities/mgimo-school-business-international-proficiency,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,,,,,,,,,,,55.780663,37.5906749,"55.780663,37.5906749",30.8
365,365,ITMO University,30.5,https://www.topuniversities.com/universities/itmo-university,Russia,St. Petersburg,Europe,https://www.topuniversities.com/sites/default/files/itmo-university_592560cf2aeae70239af5829_small.jpg,360,30.1,436,26.4,511-520,,601-650,,,,59.95718,30.3083389,"59.95718,30.3083389",30.5
366,365,Umea University,30.5,https://www.topuniversities.com/universities/umea-university,Sweden,Umeå,Europe,https://www.topuniversities.com/sites/default/files/logo_Umu-48x48.jpg,333,31.7,340,31.8,338,31.7,338,34.8,294,37.2,63.8202224,20.3054461,"63.8202224,20.3054461",30.5
367,365,Ulm University,30.5,https://www.topuniversities.com/universities/ulm-university,Germany,Ulm,Europe,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,,,,,,,,,,,32.5267122,-92.0731791,"32.5267122,-92.0731791",30.5
368,368,Sultan Qaboos University,30.4,https://www.topuniversities.com/universities/sultan-qaboos-university,Oman,Muscat,Asia,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_small.jpg,375,29.1,379,28.9,450,25.7,451-460,,451-460,,23.5896334,58.1735472,"23.5896334,58.1735472",30.4
369,369,Norwegian University of Science And Technology,30.3,https://www.topuniversities.com/universities/norwegian-university-science-technology,Norway,Trondheim,Europe,https://www.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,360,30.1,359,30.5,363,30.1,259,40.5,259,39.8,63.4194872,10.401994,"63.4194872,10.401994",30.3
370,369,Universidade Federal do Rio de Janeiro,30.3,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-do-rio-de-janeiro_525_small.jpg,380,28.8,358,30.6,361,30.3,311,36.7,321,35.3,-22.8625345,-43.2234737,"-22.8625345,-43.2234737",30.3
371,371,Universitat Politècnica de València,30,https://www.topuniversities.com/universities/universitat-politecnica-de-valencia,Spain,València,Europe,https://www.topuniversities.com/sites/default/files/universitat-politcnica-de-valncia_648_small.jpg,326,31.9,336,32,310,33.7,373,32.5,431-440,,39.48098894,-0.340662089,"39.48098894038595,-0.3406620886189845",30
372,372,Lincoln University ,29.8,https://www.topuniversities.com/universities/lincoln-university,New Zealand,Lincoln,Oceania,https://www.topuniversities.com/sites/default/files/lincoln-university-_592560cf2aeae70239af4ef3_small.jpg,387,28.6,356,30.7,317,33.2,319,35.9,343,33.9,39.8070693,-75.9282072,"39.8070693,-75.9282072",29.8
373,373,Beijing Institute of Technology,29.6,https://www.topuniversities.com/universities/beijing-institute-technology,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg,392,28.4,436,26.4,464,25.2,451-460,,389,30.8,39.9603704,116.3123886,"39.9603704,116.3123886",29.6
374,373,"University of Chemistry and Technology, Prague",29.6,https://www.topuniversities.com/universities/university-chemistry-technology-prague,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/university-of-chemistry-and-technology-prague_592560cf2aeae70239af4f53_small.jpg,342,31.5,355,30.8,,,,,,,50.103301,14.389611,"50.103301,14.389611",29.6
375,373,University of Connecticut,29.6,https://www.topuniversities.com/universities/university-connecticut,United States,Storrs,North America,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg,501-510,,377,29,373,29.4,421-430,,421-430,,41.8077414,-72.2539805,"41.8077414,-72.2539805",29.6
376,373,University of Waikato,29.6,https://www.topuniversities.com/universities/university-waikato,New Zealand,Hamilton ,Oceania,https://www.topuniversities.com/sites/default/files/university-of-waikato_660_small.jpg,375,29.1,266,36.6,274,36,292,38.1,324,35.1,-37.7868611,175.3184579,"-37.7868611,175.3184579",29.6
377,377,University of Oulu,29.5,https://www.topuniversities.com/universities/university-oulu,Finland,Oulu,Europe,https://www.topuniversities.com/sites/default/files/university-of-oulu_476_small.jpg,408,27.7,374,29.3,376,29.2,411-420,,411-420,,65.0593177,25.4662935,"65.0593177,25.4662935",29.5
378,378,Julius-Maximilians-Universität Würzburg,29.4,https://www.topuniversities.com/universities/julius-maximilians-universitat-wurzburg,Germany,Würzburg,Europe,https://www.topuniversities.com/sites/default/files/julius-maximilians-universitt-wrzburg_592560cf2aeae70239af4d2d_small.jpg,437,26.2,462,25.2,521-530,,481-490,,421-430,,49.7881814,9.93526,"49.7881814,9.93526",29.4
379,378,Quaid-i-Azam University,29.4,https://www.topuniversities.com/universities/quaid-i-azam-university,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg,454,25.5,511-520,,551-560,,651-700,,701+,,33.747648,73.138121,"33.747648,73.138121",29.4
380,378,"Stony Brook University, State University of New York",29.4,https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york,United States,Stony Brook,North America,https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,373,29.2,359,30.5,349,31.2,382,31.9,390,30.7,40.9047962,-73.1239649,"40.9047962,-73.1239649",29.4
381,381,Sharif University of Technology,29.3,https://www.topuniversities.com/universities/sharif-university-technology,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/sharif-university-of-technology_592560cf2aeae70239af4d42_small.jpg,409,27.6,407,28,432,26.5,471-480,,431-440,,35.7036491,51.3517033,"35.7036491,51.3517033",29.3
382,381,Tokyo Medical and Dental University (TMDU),29.3,https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-medical-and-dental-university-tmdu_592560cf2aeae70239af4e8a_small.jpg,362,30,359,30.5,352,30.9,367,32.9,329,34.7,35.7014083,139.7641609,"35.7014083,139.7641609",29.3
383,383,American University of Sharjah,29.1,https://www.topuniversities.com/universities/american-university-sharjah,United Arab Emirates,Sharjah,Asia,https://www.topuniversities.com/sites/default/files/american-university-of-sharjah_1201_small.jpg,348,31,371,29.6,376,29.2,411-420,,441-450,,25.3115602,55.4926503,"25.3115602,55.4926503",29.1
384,383,Beihang University (former BUAA),29.1,https://www.topuniversities.com/universities/beihang-university-former-buaa,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beihang-university-former-buaa_870_small.jpg,449,25.7,462,25.2,491,23.9,551-600,,431-440,,39.984792,116.344527,"39.984792,116.344527",29.1
385,383,University of Kent,29.1,https://www.topuniversities.com/universities/university-kent,United Kingdom,Canterbury,Europe,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg,380,28.8,368,29.8,355,30.7,373,32.5,366,32.1,51.2967395,1.063004,"51.2967395,1.063004",29.1
386,386,Kobe University,28.9,https://www.topuniversities.com/universities/kobe-university,Japan,Kobe City,Asia,https://www.topuniversities.com/sites/default/files/kobe-university_320_small.jpg,403,27.9,395,28.4,352,30.9,351,33.6,369,32,34.7253129,135.2346263,"34.7253129,135.2346263",28.9
387,387,University of Kansas,28.8,https://www.topuniversities.com/universities/university-kansas,United States,Lawrence,North America,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg,383,28.7,372,29.4,367,29.9,386,31.3,373,31.7,38.9543439,-95.2557961,"38.9543439,-95.2557961",28.8
388,388,University at Buffalo SUNY,28.7,https://www.topuniversities.com/universities/university-buffalo-suny,United States,Buffalo,North America,https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_small.jpg,346,31.1,340,31.8,313,33.4,318,36.1,342,34,43.0008093,-78.7889697,"43.0008093,-78.7889697",28.7
389,388,University of Pisa,28.7,https://www.topuniversities.com/universities/university-pisa,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/university-of-pisa_499_small.jpg,383,28.7,389,28.6,422,27,421-430,,431-440,,43.7167235,10.3988593,"43.7167235,10.3988593",28.7
390,390,Universit_ Vita-Salute San Raffaele,28.6,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/universit-vita-salute-san-raffaele_592560cf2aeae70239af5016_small.jpg,392,28.4,,,,,,,,,45.5069106,9.2672938,"45.5069106,9.2672938",28.6
